P_ID,Flow,Word count,NAs
220,0.862888001864,2,0

221,0.876482450891,2,0

222,None,2,1

223,None,2,1

224,0.57421674819,2,0

225,0.675950973309,2,0

226,None,2,1

227,None,2,1

228,0.983666883696,2,0

229,None,2,1

230,None,2,1

231,None,2,1

232,None,2,1

233,None,2,1

234,None,2,2

235,0.756009675406,2,0

236,0.890429219865,2,0

237,0.919546574,2,0

238,0.891677903551,2,0

239,0.798672518198,2,0

240,0.877800853689,2,0

241,0.976232294601,2,0

242,0.968260218744,2,0

243,0.837744170434,2,0

244,0.691435012784,2,0

245,0.943172876861,2,0

246,0.968193597087,2,0

247,0.204302867666,2,0

248,0.684653381044,2,0

249,0.77542806702,2,0

250,0.687980907316,2,0

251,0.729945128693,2,0

252,0.977872889512,2,0

253,0.962800612826,2,0

254,0.948131256194,2,0

255,1.05111264503,2,0

256,0.945259360501,2,0

257,0.874338736357,2,0

258,0.934893985545,2,0

259,0.981955191232,2,0

260,0.716633445231,2,0

261,0.707370123819,2,0

262,0.849291327938,2,0

263,0.869595877047,2,0

264,0.713494437406,2,0

265,0.727414109014,2,0

266,0.869496472671,2,0

267,0.734445379129,2,0

268,0.774097313461,2,0

269,0.89363637266,2,0

270,None,2,1

271,None,2,1

272,0.787120128724,2,0

273,0.756009675406,2,0

274,0.692280649385,2,0

275,0.980825192451,2,0

276,1.01641841929,2,0

277,0.798222823648,2,0

278,0.782503579291,2,0

279,0.644487709255,2,0

280,0.907867825368,2,0

281,0.475138554357,2,0

282,0.79456453201,2,0

283,1.02766762447,2,0

284,0.833072632935,2,0

285,None,2,1

286,None,2,1

287,0.915685613021,2,0

288,0.960584973936,2,0

289,0.911783922268,2,0

290,0.839489175932,2,0

291,0.748221277809,2,0

292,0.954408585336,2,0

293,0.881806504651,2,0

294,0.778706947674,2,0

295,0.862394339531,2,0

296,0.81239150503,2,0

297,0.856399255824,2,0

298,0.827620991939,2,0

299,0.877964527509,2,0

300,0.97018389423,2,0

301,None,2,1

302,None,2,1

303,0.983121008954,2,0

304,0.938165620657,2,0

305,None,2,1

306,None,2,1

307,0.88367607871,2,0

308,0.902095000128,2,0

309,0.657981640656,2,0

310,0.790256208573,2,0

311,0.991014287715,2,0

312,0.929465268035,2,0

313,0.672673001205,2,0

314,None,2,1

315,None,2,1

316,0.711102982967,2,0

317,0.713621859766,2,0

318,0.875588360304,2,0

319,0.956043694053,2,0

320,0.386093198095,2,0

321,None,2,1

322,None,2,1

323,0.861540128314,2,0

324,0.871232097066,2,0

325,0.980361816669,2,0

326,0.866344987995,2,0

327,0.754355118114,2,0

328,0.740212588807,2,0

329,0.740739766994,2,0

330,1.05636343986,2,0

331,0.979687389247,2,0

332,0.92071782297,2,0

333,0.833129644067,2,0

334,0.971112599673,2,0

335,0.744441264085,2,0

336,0.748624268775,2,0

337,0.710186629914,2,0

338,0.817595200141,2,0

339,0.578013198968,2,0

340,0.431155024052,2,0

341,0.602851312702,2,0

342,0.721025285166,2,0

343,0.734991857411,2,0

344,0.382498265497,2,0

345,0.446158660182,2,0

346,0.585790008948,2,0

347,0.831957402127,2,0

348,0.531815422471,2,0

349,0.987727924258,2,0

350,0.770107536232,2,0

351,0.981105617275,2,0

352,0.878013046043,2,0

353,0.763591973888,2,0

354,0.597544668543,2,0

355,0.849566575453,2,0

356,0.712893493802,2,0

357,0.759427163599,2,0

358,0.801475076648,2,0

359,0.790625102967,2,0

360,0.778517131075,2,0

361,None,2,1

362,None,2,1

363,0.81224465448,2,0

364,0.881759946829,2,0

365,0.981800738791,2,0

366,0.79178067329,2,0

367,0.846913250198,2,0

368,0.654805478334,2,0

369,0.830921509677,2,0

370,0.765489007162,2,0

371,0.682315719768,2,0

372,0.887064876513,2,0

373,0.964477457221,2,0

374,0.929916992457,2,0

375,0.722227517945,2,0

376,0.851608051126,2,0

377,0.784753895049,2,0

378,0.41913912609,2,0

379,0.794344570848,2,0

380,0.470874341113,2,0

381,None,2,1

382,None,2,1

383,0.783250854881,2,0

384,0.796512854698,2,0

385,0.893781322159,2,0

386,0.862204533694,2,0

387,0.813104961615,2,0

388,0.956395398288,2,0

389,None,2,1

390,None,2,1

391,0.652761363416,2,0

392,0.934665582528,2,0

393,0.784457284444,2,0

394,0.866985716909,2,0

395,0.882092525638,2,0

396,0.879462966135,2,0

397,0.878557726921,2,0

398,0.790798136746,2,0

399,0.640009517786,2,0

