"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"19767.1" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.32221565015419 2000 2000 197662
"19767.2" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.33307481200582 2000 2000 197663
"19767.3" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.18621499721212 2000 2000 197664
"19767.4" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.33309176823335 2000 2000 197665
"19767.5" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.40256006411107 2000 2000 197666
"19767.6" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.1401241605343 2000 2000 197667
"19767.7" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.38457920219252 2000 2000 197668
"19767.8" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.23646279516587 2000 2000 197669
"19767.9" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.38857976290761 2000 2000 197670
"19768" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 5.98857306873761 2000 2000 197671
"19768.1" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 6.0176640893277 2000 2000 197672
"19768.2" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 6.1180647233249 2000 2000 197673
"19768.3" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 5.9710032363837 2000 2000 197674
"19768.4" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 6.17332352585229 2000 2000 197675
"19768.5" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 6.17958760458898 2000 2000 197676
"19768.6" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 5.96274946490511 2000 2000 197677
"19768.7" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 6.08964293210653 2000 2000 197678
"19768.8" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 6.12813165179454 2000 2000 197679
"19768.9" "The Great Stone Face" "Mr" "Hawthorne, Nathaniel" "Sinclair, May" 6.22471140682355 2000 2000 197680
