"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"17180.8" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.37284542048488 2000 2000 171799
"17180.9" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.30611950118196 2000 2000 171800
"17181" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.21431474190522 2000 2000 171801
"17181.1" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.2271668126266 2000 2000 171802
"17181.2" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.17955734546557 2000 2000 171803
"17181.3" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.23270125232545 2000 2000 171804
"17181.4" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.22849328026852 2000 2000 171805
"17181.5" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.27743142983879 2000 2000 171806
"17181.6" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.15244923023501 2000 2000 171807
"17181.7" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.25807341234691 2000 2000 171808
"17181.8" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.05952877837122 2000 2000 171809
"17181.9" "The Tiger Lily" "The Big Time" "Fenn, George Manville" "Leiber, Fritz" 6.16753028585446 2000 2000 171810
"17182" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 5.90256527570065 2000 2000 171811
"17182.1" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 6.30850937634772 2000 2000 171812
"17182.2" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 5.91813263784393 2000 2000 171813
"17182.3" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 6.16787652957712 2000 2000 171814
"17182.4" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 5.96309267539133 2000 2000 171815
"17182.5" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 6.06614692462805 2000 2000 171816
"17182.6" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 6.34129488801779 2000 2000 171817
"17182.7" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 6.21176764287383 2000 2000 171818
"17182.8" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 5.99949318652973 2000 2000 171819
"17182.9" "The Tiger Lily" "The Flaw in the Crystal" "Fenn, George Manville" "Sinclair, May" 6.15079891813693 2000 2000 171820
"17183" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.33361689574849 2000 2000 171821
"17183.1" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.42073176032854 2000 2000 171822
"17183.2" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.33400734549891 2000 2000 171823
"17183.3" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.21783091057492 2000 2000 171824
"17183.4" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.25222638093393 2000 2000 171825
"17183.5" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.22870388742279 2000 2000 171826
"17183.6" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.22153344994934 2000 2000 171827
"17183.7" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.31773311702876 2000 2000 171828
"17183.8" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.2459513413611 2000 2000 171829
"17183.9" "The Tiger Lily" "Caleb Williams" "Fenn, George Manville" "Godwin, William" 6.23537726906639 2000 2000 171830
"17184" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.04533212590875 2000 2000 171831
"17184.1" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.2353340771003 2000 2000 171832
"17184.2" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.0975709302464 2000 2000 171833
"17184.3" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.25312908893483 2000 2000 171834
"17184.4" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.03820111251414 2000 2000 171835
"17184.5" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.36387072754609 2000 2000 171836
"17184.6" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.35923424508364 2000 2000 171837
"17184.7" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.31162375520008 2000 2000 171838
"17184.8" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.15571540928592 2000 2000 171839
"17184.9" "The Tiger Lily" "Lady into Fox" "Fenn, George Manville" "Garnett, David" 6.15245970258199 2000 2000 171840
"17185" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.38995774766781 2000 2000 171841
"17185.1" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.5423388244486 2000 2000 171842
"17185.2" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.37792253865497 2000 2000 171843
"17185.3" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.34492113928218 2000 2000 171844
"17185.4" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.37177150934439 2000 2000 171845
"17185.5" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.36798771061851 2000 2000 171846
"17185.6" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.02769514942697 2000 2000 171847
"17185.7" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.28312889676761 2000 2000 171848
"17185.8" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.40087306308166 2000 2000 171849
"17185.9" "The Tiger Lily" "Casanova" "Fenn, George Manville" "Schnitzler, Arthur" 6.49335758493201 2000 2000 171850
"17186" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.11260500919636 2000 2000 171851
"17186.1" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.11873063613035 2000 2000 171852
"17186.2" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.14395976611698 2000 2000 171853
"17186.3" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.21932083988819 2000 2000 171854
"17186.4" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.284832329697 2000 2000 171855
"17186.5" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.25488584512962 2000 2000 171856
"17186.6" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.17121013237703 2000 2000 171857
"17186.7" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.05305961878781 2000 2000 171858
"17186.8" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 5.99271212938799 2000 2000 171859
"17186.9" "The Tiger Lily" "Nancy MacIntyre" "Fenn, George Manville" "Parker, Lester Shepard" 6.00691195768015 2000 2000 171860
"17187" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.20947887261816 2000 2000 171861
"17187.1" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.30387727900268 2000 2000 171862
"17187.2" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.4373778594928 2000 2000 171863
"17187.3" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.33151235649784 2000 2000 171864
"17187.4" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.38081813210281 2000 2000 171865
"17187.5" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.31395072237569 2000 2000 171866
"17187.6" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.19547573393507 2000 2000 171867
"17187.7" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.38818263873246 2000 2000 171868
"17187.8" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.43219457814729 2000 2000 171869
"17187.9" "The Tiger Lily" "The Quaint Companions" "Fenn, George Manville" "Merrick, Leonard" 6.24048635609057 2000 2000 171870
"17188" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 6.30450778768074 2000 2000 171871
"17188.1" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 5.95112754793922 2000 2000 171872
"17188.2" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 6.42322774108921 2000 2000 171873
"17188.3" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 6.25513724686702 2000 2000 171874
"17188.4" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 5.87811545282206 2000 2000 171875
"17188.5" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 6.15315085641508 2000 2000 171876
