"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"22805.6" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.66448418721716 2000 2000 228047
"22805.7" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.64671530883701 2000 2000 228048
"22805.8" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.42894846813048 2000 2000 228049
"22805.9" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.51703861730237 2000 2000 228050
"22806" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.70392605022559 2000 2000 228051
"22806.1" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.66497649409309 2000 2000 228052
"22806.2" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.62261894351189 2000 2000 228053
"22806.3" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.80592952302502 2000 2000 228054
"22806.4" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.79915874706009 2000 2000 228055
"22806.5" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.44423869478687 2000 2000 228056
"22806.6" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 6.03524686158521 2000 2000 228057
"22806.7" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.68674145517253 2000 2000 228058
"22806.8" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.53944536820218 2000 2000 228059
"22806.9" "Odd Man Out" "The Title Market" "Jacobs, W. W. (William Wymark)" "Post, Emily" 5.78979884454271 2000 2000 228060
"22807" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 6.08047805564016 2000 2000 228061
"22807.1" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 5.882893019344 2000 2000 228062
"22807.2" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 5.9529684003333 2000 2000 228063
"22807.3" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 5.77773159457983 2000 2000 228064
"22807.4" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 5.88683881476133 2000 2000 228065
"22807.5" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 6.01459519675011 2000 2000 228066
"22807.6" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 6.21519592286452 2000 2000 228067
"22807.7" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 5.91156630105135 2000 2000 228068
"22807.8" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 6.0287645078734 2000 2000 228069
"22807.9" "Fairy Gold" "Memoirs of Arthur Hamilton" "Jacobs, W. W. (William Wymark)" "Benson, Arthur Christopher" 6.015682985115 2000 2000 228070
"22808" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 6.09091213818822 2000 2000 228071
"22808.1" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 5.9747211377911 2000 2000 228072
"22808.2" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 5.99521916815956 2000 2000 228073
"22808.3" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 5.91306766891257 2000 2000 228074
"22808.4" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 6.35589261493965 2000 2000 228075
"22808.5" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 5.82034417379547 2000 2000 228076
"22808.6" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 6.02255521559181 2000 2000 228077
"22808.7" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 5.85401852235051 2000 2000 228078
"22808.8" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 5.81038177275966 2000 2000 228079
"22808.9" "Fairy Gold" "The Shoulders of Atlas" "Jacobs, W. W. (William Wymark)" "Freeman, Mary Eleanor Wilkins" 5.86664011751703 2000 2000 228080
"22809" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.77399521356178 2000 2000 228081
"22809.1" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.79761154729123 2000 2000 228082
"22809.2" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.98891735994819 2000 2000 228083
"22809.3" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.77759444045959 2000 2000 228084
"22809.4" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.90636709146258 2000 2000 228085
"22809.5" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.87954770930074 2000 2000 228086
"22809.6" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.64886600268887 2000 2000 228087
"22809.7" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.85734802371718 2000 2000 228088
