"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"29887" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.28346217195609 2000 2000 298861
"29899.2" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 6.13171351729717 2000 2000 298983
"29899.3" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 5.98360152258626 2000 2000 298984
"29899.4" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 6.36171705254136 2000 2000 298985
"29899.5" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 5.68666140894428 2000 2000 298986
"29899.6" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 6.24545175762985 2000 2000 298987
"29899.7" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 6.1390486612892 2000 2000 298988
"29899.8" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 6.0070137571644 2000 2000 298989
"29899.9" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 6.16489291741463 2000 2000 298990
"29900" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.08431302119462 2000 2000 298991
"29900.1" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.3510673433356 2000 2000 298992
"29900.2" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.22118434196685 2000 2000 298993
"29900.3" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.20531079031296 2000 2000 298994
"29900.4" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.28843545702853 2000 2000 298995
"29900.5" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.21305169622849 2000 2000 298996
"29900.6" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.2971494253673 2000 2000 298997
"29900.7" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.27028486615205 2000 2000 298998
"29900.8" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.39849127873572 2000 2000 298999
"29900.9" "The Long Vacation" "Geoffrey Hampstead" "Yonge, Charlotte M. (Charlotte Mary)" "Jarvis, Stinson" 6.16194348327236 2000 2000 299000
"29901" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.36707936815122 2000 2000 299001
"29901.1" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.35073269321383 2000 2000 299002
"29901.2" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.28911660804858 2000 2000 299003
"29901.3" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.1574415084524 2000 2000 299004
"29901.4" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.25535179630391 2000 2000 299005
"29901.5" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.44194602617937 2000 2000 299006
"29901.6" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.50561082757273 2000 2000 299007
"29901.7" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.12580033376932 2000 2000 299008
"29901.8" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.34401358967351 2000 2000 299009
"29901.9" "The Long Vacation" "A Pasteboard Crown" "Yonge, Charlotte M. (Charlotte Mary)" "Morris, Clara" 6.27042527848087 2000 2000 299010
"29902" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.55650101790239 2000 2000 299011
"29902.1" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.40968883693365 2000 2000 299012
"29902.2" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.51746972171963 2000 2000 299013
"29902.3" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.49439774616537 2000 2000 299014
"29902.4" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.58145520777547 2000 2000 299015
"29902.5" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.34917000102878 2000 2000 299016
"29902.6" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.49544724770805 2000 2000 299017
"29902.7" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.3887921866452 2000 2000 299018
"29902.8" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.50248422924883 2000 2000 299019
"29902.9" "The Long Vacation" "The Confessions of Harry Lorrequer" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.42166513131805 2000 2000 299020
"29903" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.50309934747984 2000 2000 299021
"29903.1" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.30475855787948 2000 2000 299022
"29903.2" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.45060648861717 2000 2000 299023
"29903.3" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.32578430921794 2000 2000 299024
"29903.4" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.25401329534088 2000 2000 299025
"29903.5" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.40443659899329 2000 2000 299026
"29903.6" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.56865493436683 2000 2000 299027
"29903.7" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.2750129581895 2000 2000 299028
"29903.8" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.32666774188148 2000 2000 299029
"29903.9" "The Long Vacation" "The Weapons of Mystery" "Yonge, Charlotte M. (Charlotte Mary)" "Hocking, Joseph" 6.2336833770369 2000 2000 299030
"29904" "The Long Vacation" "Metamorphosis" "Yonge, Charlotte M. (Charlotte Mary)" "Kafka, Franz" 5.96142491810293 2000 2000 299031
